Month,bravebrowser,duckduckgo,vpn,tor,startpage
2004-01,0,0,43,8,2
2004-02,0,0,45,8,2
2004-03,0,<1,45,7,2
2004-04,0,0,40,8,2
2004-05,<1,0,37,7,3
2004-06,0,0,45,9,3
2004-07,<1,0,41,8,3
2004-08,0,0,40,7,2
2004-09,0,0,41,9,2
2004-10,0,0,40,8,2
2004-11,0,0,37,8,2
2004-12,0,<1,38,9,2
2005-01,0,0,40,8,2
2005-02,0,0,41,9,3
2005-03,0,0,41,9,3
2005-04,0,0,35,9,2
2005-05,0,0,38,9,1
2005-06,0,0,37,10,1
2005-07,0,0,34,11,1
2005-08,0,0,35,11,1
2005-09,0,0,38,11,1
2005-10,0,<1,35,11,1
2005-11,0,0,35,10,1
2005-12,0,0,33,10,1
2006-01,0,0,32,11,1
2006-02,<1,0,33,11,1
2006-03,<1,0,33,11,<1
2006-04,0,0,31,13,<1
2006-05,0,0,31,12,<1
2006-06,0,0,30,14,1
2006-07,0,<1,28,13,1
2006-08,0,0,29,11,<1
2006-09,0,<1,29,13,<1
2006-10,0,0,30,12,<1
2006-11,<1,0,29,12,1
2006-12,0,<1,27,10,<1
2007-01,0,0,27,11,<1
2007-02,0,0,30,11,<1
2007-03,0,0,29,11,<1
2007-04,0,<1,28,11,<1
2007-05,<1,0,27,13,<1
2007-06,<1,0,27,11,<1
2007-07,0,0,26,12,<1
2007-08,<1,0,28,12,<1
2007-09,0,<1,27,15,<1
2007-10,0,0,28,13,<1
2007-11,0,0,29,13,<1
2007-12,0,0,25,12,<1
2008-01,0,0,25,12,<1
2008-02,0,0,26,11,<1
2008-03,0,<1,25,12,<1
2008-04,0,0,26,12,<1
2008-05,0,0,25,12,<1
2008-06,0,0,23,13,<1
2008-07,0,0,24,13,<1
2008-08,<1,0,24,11,<1
2008-09,0,0,25,13,<1
2008-10,0,0,26,13,<1
2008-11,0,0,25,12,<1
2008-12,0,0,22,13,<1
2009-01,0,<1,24,13,<1
2009-02,0,0,25,14,<1
2009-03,0,0,23,13,<1
2009-04,0,<1,25,14,<1
2009-05,0,<1,23,13,<1
2009-06,<1,0,23,13,<1
2009-07,0,<1,23,14,<1
2009-08,0,0,22,14,<1
2009-09,<1,0,25,15,<1
2009-10,<1,<1,25,14,<1
2009-11,0,<1,25,15,<1
2009-12,0,<1,24,13,<1
2010-01,<1,<1,24,13,<1
2010-02,0,<1,25,13,<1
2010-03,<1,<1,24,13,<1
2010-04,<1,<1,24,12,<1
2010-05,0,<1,23,13,<1
2010-06,<1,<1,24,15,<1
2010-07,0,<1,21,14,<1
2010-08,<1,<1,23,13,<1
2010-09,0,<1,23,13,<1
2010-10,0,<1,25,14,<1
2010-11,0,<1,25,13,<1
2010-12,0,<1,23,13,<1
2011-01,0,<1,24,14,<1
2011-02,0,<1,24,15,<1
2011-03,0,<1,25,14,<1
2011-04,<1,<1,22,15,<1
2011-05,0,<1,23,15,<1
2011-06,<1,<1,24,15,<1
2011-07,0,<1,24,15,<1
2011-08,0,<1,24,15,<1
2011-09,0,<1,25,16,<1
2011-10,0,<1,25,16,<1
2011-11,<1,<1,26,18,<1
2011-12,<1,<1,24,19,<1
2012-01,0,1,24,18,<1
2012-02,0,1,25,18,<1
2012-03,0,1,23,17,1
2012-04,<1,1,24,16,<1
2012-05,<1,1,23,15,<1
2012-06,<1,1,23,16,<1
2012-07,<1,1,23,15,<1
2012-08,<1,1,23,15,<1
2012-09,<1,1,25,16,<1
2012-10,<1,1,25,15,<1
2012-11,0,1,25,16,1
2012-12,0,1,24,16,1
2013-01,0,1,26,15,1
2013-02,0,1,25,15,1
2013-03,<1,1,27,15,1
2013-04,<1,1,24,15,1
2013-05,<1,1,24,15,1
2013-06,<1,3,25,17,1
2013-07,<1,3,25,16,1
2013-08,<1,2,25,18,1
2013-09,<1,2,24,17,1
2013-10,<1,2,26,19,1
2013-11,<1,2,25,19,1
2013-12,<1,2,25,17,1
2014-01,<1,3,26,17,1
2014-02,0,2,29,17,1
2014-03,<1,2,30,19,1
2014-04,<1,2,28,17,1
2014-05,<1,3,25,18,1
2014-06,<1,3,27,18,1
2014-07,<1,2,29,20,1
2014-08,<1,2,26,18,1
2014-09,<1,3,29,22,1
2014-10,<1,3,29,18,1
2014-11,<1,3,28,20,1
2014-12,<1,3,28,18,1
2015-01,<1,3,30,19,1
2015-02,<1,3,30,18,1
2015-03,<1,3,29,18,1
2015-04,<1,3,31,18,1
2015-05,<1,3,29,18,1
2015-06,<1,3,30,19,1
2015-07,<1,3,30,19,1
2015-08,<1,3,31,21,1
2015-09,<1,3,30,19,1
2015-10,<1,4,31,19,1
2015-11,<1,3,32,19,1
2015-12,<1,3,34,19,1
2016-01,<1,2,29,16,1
2016-02,<1,2,31,17,1
2016-03,<1,2,30,16,1
2016-04,<1,2,28,16,1
2016-05,<1,2,32,16,1
2016-06,<1,2,31,17,1
2016-07,<1,2,31,17,1
2016-08,<1,2,33,16,1
2016-09,<1,2,32,17,1
2016-10,<1,2,34,17,1
2016-11,<1,2,33,16,1
2016-12,<1,2,34,16,1
2017-01,<1,2,33,17,1
2017-02,<1,3,34,17,1
2017-03,<1,2,36,16,1
2017-04,<1,3,35,17,1
2017-05,<1,3,39,17,1
2017-06,<1,2,37,16,1
2017-07,<1,3,38,17,1
2017-08,<1,3,36,16,1
2017-09,<1,3,36,16,1
2017-10,<1,3,36,17,1
2017-11,<1,3,37,16,1
2017-12,<1,3,37,16,1
2018-01,<1,4,43,16,1
2018-02,<1,4,37,16,1
2018-03,<1,5,37,15,1
2018-04,<1,4,36,16,1
2018-05,<1,4,48,18,1
2018-06,<1,4,36,19,1
2018-07,<1,4,38,17,1
2018-08,<1,5,38,16,1
2018-09,<1,6,38,19,1
2018-10,<1,7,37,17,1
2018-11,<1,7,38,16,1
2018-12,<1,7,40,16,1
2019-01,<1,7,40,17,1
2019-02,<1,7,41,17,1
2019-03,1,8,39,19,1
2019-04,1,8,46,16,1
2019-05,1,8,55,18,1
2019-06,1,9,50,18,1
2019-07,1,9,44,17,1
2019-08,1,9,45,15,1
2019-09,1,9,43,17,1
2019-10,1,9,43,15,1
2019-11,1,9,46,16,1
2019-12,1,9,43,15,1
2020-01,1,9,43,15,1
2020-02,1,10,49,15,1
2020-03,1,9,60,14,1
2020-04,1,10,53,13,1
2020-05,1,10,46,13,1
2020-06,1,11,45,13,1
2020-07,1,12,45,13,1
2020-08,1,12,45,13,1
2020-09,1,11,48,13,1
2020-10,1,11,53,12,1
2020-11,1,13,47,12,1
2020-12,1,14,46,12,1
2021-01,1,19,46,12,1
2021-02,1,14,50,12,1
2021-03,1,13,45,12,1
2021-04,1,14,44,12,1
2021-05,1,15,49,12,2
2021-06,1,16,45,13,1
2021-07,1,17,46,12,1
2021-08,1,19,44,12,1
2021-09,1,20,46,13,1
2021-10,1,22,45,12,1
2021-11,1,23,47,12,1
2021-12,1,23,45,12,1
2022-01,2,20,55,13,1
2022-02,2,19,56,14,1
2022-03,2,20,62,13,1
2022-04,2,23,54,13,1
2022-05,2,26,50,13,1
2022-06,1,27,53,13,1
2022-07,1,25,53,14,1
2022-08,1,24,53,13,1
2022-09,1,26,82,16,1
2022-10,2,25,100,14,1
2022-11,1,25,77,14,1
